Jeruzalémská 977, Praha 1
Korunní 984, Praha 2
Elišky Peškové 322, Praha 5
Malinová 1258, Praha 10
Freyova 1, Praha 9
Podskalská 368, Praha 2
V Tuních 1768, Praha 2
K ochozu 1307, Praha 4
Vinohradská 1789, Praha 2
Kodanská 319, Praha 10
Jalodvorská 841, Praha 4
V Horkách 1407, Praha 4
Michelská 1005, Praha 4
Za návsí 1642, Praha 10
Roztylské nám. 2772, Praha 4
Opatovická 157, Praha 1
Jana Želivského 1860, Praha 3
Navrátilova 1421, Praha 1
Preslova 1029, Praha 5
U Tržnice 1180, Praha 2
Donská 431, Praha 10
Rašínovo nábr. 2084, Praha 2
Keramická 243, Praha 7
Táboritská 475, Praha 3
Sezimova 481, Praha 4
Michalská 440, Praha 1
Belehradská 1908, Praha 2
Vlkova 619, Praha 3
Rokycanova 707, Praha 3
Jungmannova 75, Praha 1
Biskupcova 1747, Praha 3
Nad Jezerkou 1255, Praha 4
Zábehlická 1777, Praha 10
Lipanská 835, Praha 3
Biskupcova 1791, Praha 3
Americká 152, Praha 2
Cs.armády 785, Praha 6
Cestmírova 390, Praha 4
Husitská 781, Praha 3
Ve Smeckách 603, Praha 1
Cechova 239, Praha 7
Vinohradská 208, Praha 2
Žitná 1667, Praha 1
Šafaríkova 785, Praha 2
Jindrišská vež, Praha 1
Zvonková 3048, Praha 10
Belgická 539, Praha 2
Ostromecská 1057, Praha 3

