Korunní 972, Praha 3
U Vody 1403, Praha 7
Vodní 93, Praha 5
U božích bojovníků 606, Praha 3
Janáčkovo nábř. 843, Praha 5
Křižíkova 330, Praha 8
Na Veselí 738, Praha 4
Dlouhá 729, Praha 1
Betlémské nám. 351, Praha 1
Kyjevská 341, Praha 6
Melantrichova 477, Praha 1
Vratislavova 68, Praha 2
Týnská ulička 640, Praha 1
Chlumova 612, Praha 3
Husova 230, Praha 1
Plzeňská 609, Praha 5
Tusarova 1051, Praha 7
Elektrárenská 982, Praha 10
Hlavatého 664, Praha 4
Na Zbořenci 261, Praha 2
Vltavská 523, Praha 5
Chlumova 199, Praha 3
Ostrovní 125, Praha 1
17.listopadu 2, Praha 1
Jindřišská 901, Praha 1
Vojtěšská 210, Praha 1
Lípová 469, Praha 2
Lublaňská 1725, Praha 2
Chodská 1416, Praha 2
Jeruzalémská 977, Praha 1
Korunní 984, Praha 2
Elišky Peškové 322, Praha 5
Malinová 1258, Praha 10
Freyova 1, Praha 9
Podskalská 368, Praha 2
V Tůních 1768, Praha 2
K ochozu 1307, Praha 4
Vinohradská 1789, Praha 2
Kodaňská 319, Praha 10
Jalodvorská 841, Praha 4
V Horkách 1407, Praha 4
Michelská 1005, Praha 4
Za návsí 1642, Praha 10
Roztylské nám. 2772, Praha 4
Opatovická 157, Praha 1
Jana Želivského 1860, Praha 3
Navrátilova 1421, Praha 1
Preslova 1029, Praha 5
U Tržnice 1180, Praha 2
Donská 431, Praha 10
Rašínovo nábř. 2084, Praha 2
Keramická 243, Praha 7
Táboritská 475, Praha 3
Sezimova 481, Praha 4
Michalská 440, Praha 1
Bělehradská 1908, Praha 2
Vlkova 619, Praha 3

